listing_id,name,brand,category,price,rating,review_count
1,Maple Row Electric Kettle,Maple Row,home-goods,23.29,3.7,1269
2,Lumen Air Purifier,Lumen,home-goods,186.52,2.9,2408
4,Maple Row Wall Clock,Maple Row,home-goods,127.0,4.7,859
5,Sonyx Mechanical Keyboard,Sonyx,electronics,358.7,3.2,2823
6,Vertex Adjustable Dumbbells,Vertex,sports-outdoors,70.0,4.1,743
7,Lumen Bath Towel Set,Lumen,home-goods,140.42,3.2,3877
8,PeakForm Trekking Poles,Peakform,sports-outdoors,256.12,4.5,833
9,Nexlon Smart Watch,Nexlon,electronics,192.0,3.9,4054
10,Lumen Storage Ottoman,Lumen,home-goods,22.26,2.8,1618
11,Brightek Laptop Stand,Brightek,electronics,141.52,3.8,3823
12,Sonyx Portable SSD 1TB,Sonyx,electronics,28.55,3.6,862
13,Ironclad Running Shoes,Ironclad,sports-outdoors,370.76,3.0,835
14,TrailBlaze Insulated Water Bottle,Trailblaze,sports-outdoors,196.87,4.5,1269
15,Vantage Wireless Mouse,Vantage,electronics,2580.28,3.8,1200
16,Vertex Fitness Tracker,Vertex,sports-outdoors,37.64,4.4,1362
17,Orbis Bluetooth Speaker,Orbis,electronics,146.0,3.6,3679
18,Nexlon Mechanical Keyboard,Nexlon,electronics,441.0,4.3,2142
19,PeakForm Adjustable Dumbbells,Peakform,sports-outdoors,214.48,3.3,1144
20,TrailBlaze Fitness Tracker,Trailblaze,sports-outdoors,279.46,4.2,4083
21,Brightek USB-C Hub,Brightek,electronics,377.87,4.4,3756
22,Summit Gear Hiking Backpack 40L,Summit Gear,sports-outdoors,105.0,4.8,399
23,Cascade Scented Candle Set,Cascade,home-goods,50.04,4.0,3833
24,TrailBlaze Camping Tent 2P,Trailblaze,sports-outdoors,67.83,4.9,2855
25,Hearth&Co Electric Kettle,Hearth&Co,home-goods,101.17,3.0,744
27,Cascade Memory Foam Pillow,Cascade,home-goods,126.73,3.6,1658
28,Orbis Noise Cancelling Headphones,Orbis,electronics,,3.6,758
29,Nexlon Noise Cancelling Headphones,Nexlon,electronics,77.2,4.9,1801
30,Summit Gear Trekking Poles,Summit Gear,sports-outdoors,101.58,3.4,2912
